token	codepoint	category	count	first_book	first_main	first_sub	first_title	ids
󑕞	U+D155E	Cn	1	複合族徽	戊󑊄	戊󑊄	󑕞󑕟尊	
󑕟	U+D155F	Cn	1	複合族徽	戊󑊄	戊󑊄	󑕞󑕟尊	
󑕴	U+D1574	Cn	1	單一族徽	單一族徽第309組	單一族徽第309組	󑕴父乙壺	
󑕵	U+D1575	Cn	1	正文	鑄	󑕵	公鑄壺	
󑖇	U+D1587	Cn	1	正文	𨪐	󑖇	󐵔子𫯺壺	
󑖎	U+D158E	Cn	1	正文	㐭	󑖎	盛季壺	
󑖓	U+D1593	Cn	1	正文	寶	󐷼	󑖓丁父壺	
󑖕	U+D1595	Cn	1	正文	乍	󑖕	朝歌下官鐘	
󑖜	U+D159C	Cn	1	複合族徽	此中	此中	󑖜壺蓋	
󑖡	U+D15A1	Cn	1	正文	安	󑖡	襄安君壺	
󑗅	U+D15C5	Cn	1	正文	政	󑗅	虞侯政壺	
󑗎	U+D15CE	Cn	1	正文	踐	󑗎	燕王職壺	
󑗐	U+D15D0	Cn	1	正文	󑤮	󑗐	燕王職壺	
󑗒	U+D15D2	Cn	1	正文	令	󑗒	燕王職壺	
󑗓	U+D15D3	Cn	1	正文	克	󑗓	燕王職壺	
󑗗	U+D15D7	Cn	1	正文	無	󑗗	蔡公子壺	
󑗚	U+D15DA	Cn	1	正文	鑄	󑗚	公子土斧壺	
󑗧	U+D15E7	Cn	1	正文	䰞	󑗧	四祀𠨘其壺	
󑗲	U+D15F2	Cn	1	正文	盥	󑗲	庚壺	
󑘀	U+D1600	Cn	1	正文	賢	󑘀	𫲨𧊒壺	
󑘂	U+D1602	Cn	1	正文	賃	󑘂	𫲨𧊒壺	
󑘃	U+D1603	Cn	1	正文	逢	󑘃	𫲨𧊒壺	
󑘇	U+D1607	Cn	1	正文	蒐	󑘇	𫲨𧊒壺	
󑘒	U+D1612	Cn	1	正文	純	󑘒	中山王󐑍壺	
󑘙	U+D1619	Cn	1	正文	易	󑘙	中山王󐑍壺	
󑘟	U+D161F	Cn	1	正文	創	󑘟	中山王󐑍壺	
󑘠	U+D1620	Cn	1	正文	勛	󑘠	中山王󐑍壺	
󑘢	U+D1622	Cn	1	正文	皆	󑘢	中山王󐑍壺	
󑘤	U+D1624	Cn	1	正文	陟	󑘤	中山王󐑍壺	
󑘽	U+D163D	Cn	1	單一族徽	單一族徽第424組	單一族徽第424組	󑘽卣	
󑙁	U+D1641	Cn	1	單一族徽	單一族徽第426組	單一族徽第426組	󑙁卣	
󑙂	U+D1642	Cn	1	單一族徽	單一族徽第60組	單一族徽第60組	󑙂卣	
󑙄	U+D1644	Cn	1	單一族徽	單一族徽第429組	單一族徽第429組	󑙄卣	
󑙇	U+D1647	Cn	1	單一族徽	單一族徽第432組	單一族徽第432組	亞󑙇卣蓋	
󑙧	U+D1667	Cn	1	單一族徽	單一族徽第443組	單一族徽第443組	󑙧父辛卣蓋	
󑚪	U+D16AA	Cn	1	單一族徽	單一族徽第476組	單一族徽第476組	󑚪卣	
󑚵	U+D16B5	Cn	1	正文	丂	󑚵	𬮓卣	
󑛔	U+D16D4	Cn	1	正文	就	𫢁	伯󑛔卣	
󑜃	U+D1703	Cn	1	正文	雝	󑜃	彔󐕱卣	
󑜑	U+D1711	Cn	1	正文	飲	󑜑	高卣蓋	
󑜒	U+D1712	Cn	1	正文	𥼚	󑜒	高卣蓋	
󑜛	U+D171B	Cn	1	單一族徽	單一族徽第510組	單一族徽第510組	亞󑜛父庚卣	
󑜟	U+D171F	Cn	1	單一族徽	單一族徽第511組	單一族徽第511組	󑜟方彝	
󑜳	U+D1733	Cn	1	正文	屰	屰	子󑜳屰方彝	
󑝝	U+D175D	Cn	1	單一族徽	單一族徽第516組	單一族徽第516組	󑝝父己罍	
󑞍	U+D178D	Cn	1	單一族徽	單一族徽第523組	單一族徽第523組	󑞍瓿	
󑞐	U+D1790	Cn	1	正文	萬	󑞐	伯亞臣𦉢	
󑞙	U+D1799	Cn	1	正文	赴	󑞙	𬩵子𫴑缶	
󑞠	U+D17A0	Cn	1	正文	嘉	嘉	孟嬴󑞠不缶	
󑞣	U+D17A3	Cn	1	正文	󑣏	󑞣	次△缶	
󑞦	U+D17A6	Cn	1	正文	祈	󑞦	欒書缶	
󑞳	U+D17B3	Cn	1	單一族徽	單一族徽第531組	單一族徽第531組	󑞳斗	
󑞶	U+D17B6	Cn	1	單一族徽	單一族徽第532組	單一族徽第532組	󑞶盤	
󑞹	U+D17B9	Cn	1	單一族徽	單一族徽第533組	單一族徽第533組	󑞹父己盤	
󑞿	U+D17BF	Cn	1	單一族徽	單一族徽第534組	單一族徽第534組	󑞿斧	
󑟁	U+D17C1	Cn	1	正文	𬯐	󑟁	𬯐仲僕盤	
󑟌	U+D17CC	Cn	1	正文	𫎝	󑟌	𫎝金氏孫盤	
󑟛	U+D17DB	Cn	1	正文	祈	󑟛	歸父盤	
󑟢	U+D17E2	Cn	1	正文	羕	󑟢	芮公叔盤	
󑟧	U+D17E7	Cn	1	正文	鑄	󑟧	者尚余卑盤	
󑟵	U+D17F5	Cn	1	正文	雝	󑟵	虢季子白盤	
󑟺	U+D17FA	Cn	1	正文	綬	󑟺	史墻盤	
󑟾	U+D17FE	Cn	1	正文	哲	󑟾	史墻盤	
󑠜	U+D181C	Cn	1	正文	幽	󑠜	諸君盤	
󑠠	U+D1820	Cn	1	正文	畏	󑠠	晉公盤	
󑠢	U+D1822	Cn	1	正文	夤	󑠢	(cid:6929)公盤	
󑠦	U+D1826	Cn	1	正文	敕	󑠦	晉公盤	
󑠯	U+D182F	Cn	1	單一族徽	單一族徽第181組	單一族徽第181組	󑠯盉	
󑠷	U+D1837	Cn	1	單一族徽	單一族徽第184組	單一族徽第184組	󑠷父辛盉	
󑠻	U+D183B	Cn	1	正文	公	󑠻	鄧公盉	
󑠿	U+D183F	Cn	1	正文	盉	󑠿	伯𫴜盉	
󑡎	U+D184E	Cn	1	正文	盉	󑡎	晉侯喜父盉	
󑡖	U+D1856	Cn	1	正文	鑑	󑡖	黎侯盉	
󑡜	U+D185C	Cn	1	正文	匜	󐭕	姞󑡜母匜	
󑡦	U+D1866	Cn	1	正文	𩒳	󑡦	㠱伯𫳙父匜	
󑡧	U+D1867	Cn	1	正文	匜	󑡧	季𫕊父匜	
󑡼	U+D187C	Cn	1	正文	盂	󑡼	齊侯匜	
󑢀	U+D1880	Cn	1	正文	睦	󑢀	𠑇匜	
󑢆	U+D1886	Cn	1	正文	鉈	鉈	󑢆伯匜	
󑢋	U+D188B	Cn	1	正文	匜	󑢋	蔡大司馬燮匜	
󑢑	U+D1891	Cn	1	正文	媵	塍	太叔󑢑父匜	
󑢔	U+D1894	Cn	1	正文	疆	󑢔	𬪂陵君鑑	
󑢠	U+D18A0	Cn	1	正文	寶	󑢠	楚公家鐘二	
󑢪	U+D18AA	Cn	1	正文	哀	󑢪	戎生鐘戊	
󑢭	U+D18AD	Cn	1	正文	越	󑢭	選鐘乙	
󑢮	U+D18AE	Cn	1	正文	𩛥	󑢮	選鐘丁	
󑢴	U+D18B4	Cn	1	正文	福	𫴗	󑢴子𫿀鐘	
󑣎	U+D18CE	Cn	1	正文	訊	󑣎	之乘辰鐘	
󑣗	U+D18D7	Cn	1	正文	歸	󑣗	曾侯乙鐘一	
󑣛	U+D18DB	Cn	1	正文	遲	󑣛	曾侯乙鐘二	
󑣦	U+D18E6	Cn	1	正文	歸	󑣦	曾侯乙鐘八	
󑣨	U+D18E8	Cn	1	正文	歸	󑣨	曾侯乙鐘十一	
󑣪	U+D18EA	Cn	1	正文	墉	󑣪	曾侯乙鐘三十六	
󑤺	U+D193A	Cn	1	正文	就	󑤺	曾侯與鐘Ⅰ甲	
󑤻	U+D193B	Cn	1	正文	荊	󑤻	曾侯與鐘Ⅰ甲	
󑥁	U+D1941	Cn	1	正文	敦	󑥁	曾侯與鐘Ⅱ甲	
󑥂	U+D1942	Cn	1	正文	龏	󑥂	曾侯與鐘Ⅱ甲	
󑥄	U+D1944	Cn	1	正文	灌	󑥄	曾侯與鐘Ⅱ丙	
󑥉	U+D1949	Cn	1	正文	夏	󑥉	嬭加鐘甲	
󑥋	U+D194B	Cn	1	正文	舞	󑥋	嬭加鐘丙	
󑥮	U+D196E	Cn	1	單一族徽	單一族徽第303組	單一族徽第303組	󑥮󑥯鐃	
󑥯	U+D196F	Cn	1	單一族徽	單一族徽第303組	單一族徽第303組	󑥮󑥯鐃	
󑥺	U+D197A	Cn	1	正文	鐸	󑥺	𫑩子白鐸	
󑥻	U+D197B	Cn	1	正文	鐸	󑥻	登鐸	
󑦃	U+D1983	Cn	1	正文	疆	󑦃	冉鉦鋮	
󑦉	U+D1989	Cn	1	單一族徽	單一族徽第325組	單一族徽第325組	󑦉戈	
󑦊	U+D198A	Cn	1	單一族徽	單一族徽第326組	單一族徽第326組	󑦊戈	
󑦌	U+D198C	Cn	1	單一族徽	單一族徽第327組	單一族徽第327組	󑦌戈	
󑦒	U+D1992	Cn	1	單一族徽	單一族徽第329組	單一族徽第329組	󑦒戈	
󑦓	U+D1993	Cn	1	單一族徽	單一族徽第330組	單一族徽第330組	󑦓戈	
󑦔	U+D1994	Cn	1	單一族徽	單一族徽第331組	單一族徽第331組	󑦔戈	
󑦗	U+D1997	Cn	1	單一族徽	單一族徽第333組	單一族徽第333組	󑦗戈	
󑦚	U+D199A	Cn	1	單一族徽	單一族徽第335組	單一族徽第335組	󑦚戈	
󑦛	U+D199B	Cn	1	單一族徽	單一族徽第336組	單一族徽第336組	󑦛戈	
󑦞	U+D199E	Cn	1	單一族徽	單一族徽第339組	單一族徽第339組	󑦞戈	
󑦠	U+D19A0	Cn	1	單一族徽	單一族徽第341組	單一族徽第341組	󑦠戈	
󑦡	U+D19A1	Cn	1	單一族徽	單一族徽第342組	單一族徽第342組	󑦡戈	
󑦥	U+D19A5	Cn	1	單一族徽	單一族徽第345組	單一族徽第345組	亞󑦥戈	
󑦬	U+D19AC	Cn	1	正文	禾	禾	禾󑦬戈	
󑦭	U+D19AD	Cn	1	正文	滕	󑦭	滕子戈	
󑦮	U+D19AE	Cn	1	正文	造	艁	󑦮子戈	
󑦰	U+D19B0	Cn	1	正文	羅	󑦰	武羅戈	
󑦻	U+D19BB	Cn	1	正文	滕	󑦻	滕工師戈	
󑧈	U+D19C8	Cn	1	正文	阼	󑧈	阼冢壟戈	
󑧌	U+D19CC	Cn	1	正文	寢	󑧌	󑧋師寢戈	
󑧎	U+D19CE	Cn	1	正文	慎	󑧎	慎魚戈	
󑧗	U+D19D7	Cn	1	正文	齊	󑧗	齊城造戈	
󑧘	U+D19D8	Cn	1	正文	造	󑧘	齊城造戈	
󑧢	U+D19E2	Cn	1	正文	御	󑧢	趙󑧡戈	
󑧪	U+D19EA	Cn	1	正文	聾	󑧪	子𣶒龏戟	
󑧰	U+D19F0	Cn	1	正文	造	󑧰	𩒳戈	
󑧲	U+D19F2	Cn	1	正文	令	󑧲	鄂君啓舟節	
󑧽	U+D19FD	Cn	1	正文	戟	󑧽	舉子傀戈	
󑨒	U+D1A12	Cn	1	正文	肩	󑨒	析君墨肩戟	
󑨖	U+D1A16	Cn	1	正文	旺	󑨖	陳旺戟	
󑨣	U+D1A23	Cn	1	合文	工帀	工帀	󑨣陰戈	
󑨨	U+D1A28	Cn	1	正文	虔	󑨨	芒陽守令虔戈	
󑩉	U+D1A49	Cn	1	正文	冶	󑩉	高奴蓸令壯罌戈	
󑩔	U+D1A54	Cn	1	正文	范	󑩔	平陶令范昃戈	
󑩡	U+D1A61	Cn	1	正文	慎	󑩡	相邦趙豹戈	
󑩳	U+D1A73	Cn	1	正文	令	󑩳	邢令孟柬慶戈	
󑪗	U+D1A97	Cn	1	正文	冶	󑪗	鄭令郭󐔱矛	
󑪣	U+D1AA3	Cn	1	正文	造	񅏮	郫󑪣戈	
󑪤	U+D1AA4	Cn	1	正文	戟	󑪤	瘳有戟	
󑪩	U+D1AA9	Cn	1	正文	慎	󑪩	蔡公子縝戈	
󑪮	U+D1AAE	Cn	1	正文	󑪯	󑪯	武王攻󑪮戈	
󑪽	U+D1ABD	Cn	1	正文	獲	󑪽	徐子伯󐙰此戈	
󑫉	U+D1AC9	Cn	1	單一族徽	單一族徽第497組	單一族徽第497組	󑫉戈	
󑫙	U+D1AD9	Cn	1	正文	左	󑫙	外󑫗󑫘戈	
󑫜	U+D1ADC	Cn	1	正文	戟	󑫜	鴻子󑫚𬋝戟	
󑫨	U+D1AE8	Cn	1	正文	曹	󑫨	챇曹令狐嗇戈	
󑬈	U+D1B08	Cn	1	單一族徽	單一族徽第506組	單一族徽第506組	󑬈矛	
󑬋	U+D1B0B	Cn	1	單一族徽	單一族徽第508組	單一族徽第508組	󑬋矛	
󑬑	U+D1B11	Cn	1	正文	造	󑬑	(cid:19611)鍾劍	
󑬗	U+D1B17	Cn	1	正文	踐	󑬗	越王之子勾踐劍	
󑬛	U+D1B1B	Cn	1	正文	敔	󑬛	攻吳王夫差劍	
󑬫	U+D1B2B	Cn	1	正文	野	󑬫	武野令馬師𬮐鈹	
󑬬	U+D1B2C	Cn	1	正文	平	󑬬	司馬成公權	
󑬭	U+D1B2D	Cn	1	正文	秦	󑬭	武野令馬師𬮐鈹	
󑭂	U+D1B42	Cn	1	正文	禦	󑭂	攻吳太子姑發󑭀反劍	
󑭜	U+D1B5C	Cn	1	單一族徽	單一族徽第515組	單一族徽第515組	󑭜鉞	
󑭡	U+D1B61	Cn	1	單一族徽	單一族徽第518組	單一族徽第518組	󑭡刀	
󑮃	U+D1B83	Cn	1	單一族徽	單一族徽第521組	單一族徽第521組	󑮃斧	
󑮘	U+D1B98	Cn	1	正文	鑄	󑮘	燕客問量	
󑮟	U+D1B9F	Cn	1	正文	半	󑮟	子禾子釜	
󑮡	U+D1BA1	Cn	1	正文	鈞	󑮡	子禾子釜	
󑮢	U+D1BA2	Cn	1	正文	半	󑮢	間鎰環權	
󑮱	U+D1BB1	Cn	1	正文	馹	󑮱	王命虎符	
󑯇	U+D1BC7	Cn	1	單一族徽	單一族徽第535組	單一族徽第535組	亞󑯇罐	
󑯊	U+D1BCA	Cn	1	正文	󑮑	󑯊	伯游父卮	
󑯌	U+D1BCC	Cn	1	單一族徽	單一族徽第649組	單一族徽第649組	即󑯌孕三筒器	
󑯎	U+D1BCE	Cn	1	正文	耇	耈	󑘯子󑯎耇四筒器	
󑯏	U+D1BCF	Cn	1	正文	歲	󑯏	國差𦉜	
󑯜	U+D1BDC	Cn	1	正文	鳧	󑯜	鍾離公鼓座	
󑯶	U+D1BF6	Cn	1	正文	還	󑯶	安還鍵	
󰌃	U+F0303	Co	1	正文	匜	󰌃	曾子叔󐳲匜	
󰌉	U+F0309	Co	1	正文	齍	󰌉	戍求鼎	
󰌘	U+F0318	Co	1	正文	觀	󰌘	𫐻方彝蓋	
